schemaname,tablename,indexname,indexdef
public,jalapeno_video_assets,jalapeno_video_assets_pkey,CREATE UNIQUE INDEX jalapeno_video_assets_pkey ON public.jalapeno_video_assets USING btree (id)
public,jalapeno_video_assets,jalapeno_video_assets_storage_path_key,CREATE UNIQUE INDEX jalapeno_video_assets_storage_path_key ON public.jalapeno_video_assets USING btree (storage_path)
public,lb_user_badges_counts,lb_user_badges_counts_pkey,CREATE UNIQUE INDEX lb_user_badges_counts_pkey ON public.lb_user_badges_counts USING btree (user_id)
public,level_thresholds,level_thresholds_pkey,CREATE UNIQUE INDEX level_thresholds_pkey ON public.level_thresholds USING btree (level)
public,onboarding_analytics,onboarding_analytics_pkey,CREATE UNIQUE INDEX onboarding_analytics_pkey ON public.onboarding_analytics USING btree (id)
public,onboarding_analytics,onboarding_analytics_session_idx,"CREATE INDEX onboarding_analytics_session_idx ON public.onboarding_analytics USING btree (session_id, started_at)"
public,onboarding_analytics,onboarding_analytics_step_idx,"CREATE INDEX onboarding_analytics_step_idx ON public.onboarding_analytics USING btree (step, started_at DESC)"
public,route_submissions,route_submissions_pkey,CREATE UNIQUE INDEX route_submissions_pkey ON public.route_submissions USING btree (id)
public,route_submissions,route_submissions_user_created_idx,"CREATE INDEX route_submissions_user_created_idx ON public.route_submissions USING btree (user_id, created_at DESC)"
public,route_travel_tag,route_travel_tag_pkey,CREATE UNIQUE INDEX route_travel_tag_pkey ON public.route_travel_tag USING btree (id)
public,routes,routes_pkey,CREATE UNIQUE INDEX routes_pkey ON public.routes USING btree (id)
public,routes,routes_title_city_key,"CREATE UNIQUE INDEX routes_title_city_key ON public.routes USING btree (title, city)"
public,routes,routes_token_route_unique,CREATE UNIQUE INDEX routes_token_route_unique ON public.routes USING btree (city) WHERE (is_token_route = true)
public,social_activity_reads,social_activity_reads_activity_idx,"CREATE INDEX social_activity_reads_activity_idx ON public.social_activity_reads USING btree (user_id, friend_activity_seen_at)"
public,social_activity_reads,social_activity_reads_pkey,CREATE UNIQUE INDEX social_activity_reads_pkey ON public.social_activity_reads USING btree (user_id)
public,states,states_pkey,CREATE UNIQUE INDEX states_pkey ON public.states USING btree (state_id)
